test_name,client_name,target_opcode,source_label,nobs,intercept_runtime_ms,intercept_pvalue,rsquared,rsquared_adj,target_coef_runtime_ms,target_coef_pvalue,target_coef_conf_int_low,target_coef_conf_int_high,param_mod_bits,param_mem_size,msg_words_runtime_ms,msg_words_pvalue,msg_words_conf_int_low,msg_words_conf_int_high,num_rounds_runtime_ms,num_rounds_pvalue,num_rounds_conf_int_low,num_rounds_conf_int_high,param_bn128,num_pairs_runtime_ms,num_pairs_pvalue,num_pairs_conf_int_low,num_pairs_conf_int_high
test_alt_bn128,besu,ECADD,presets[precompile_bn128_add],3652,150.88384011672804,0.001,0.8855545086651732,0.8855231537360403,0.0006194576556357643,0.001,0.0006122108690705802,0.0006270154327526265,,,,,,,,,,,add,,,,
test_alt_bn128,erigon,ECADD,presets[precompile_bn128_add],231,42.27796548705333,0.001,0.9289164795324497,0.9286060711461286,0.0007157900381047575,0.001,0.0006911157816791458,0.0007382601975647888,,,,,,,,,,,add,,,,
test_alt_bn128,ethrex,ECADD,presets[precompile_bn128_add],1562,135.54854795094028,0.001,0.8260043771772011,0.8258928415215454,0.0005759940684522715,0.001,0.0005614512006606462,0.0005890628152742679,,,,,,,,,,,add,,,,
test_alt_bn128,geth,ECADD,presets[precompile_bn128_add],4092,80.55192233673995,0.001,0.8804619435370327,0.880432716628362,0.0003886263695507731,0.001,0.00038447692454793,0.00039295407818484753,,,,,,,,,,,add,,,,
test_alt_bn128,nethermind,ECADD,presets[precompile_bn128_add],1155,77.18261025451255,0.001,0.916799258141381,0.9167270979142703,0.00043878903838654387,0.001,0.00043095900523117337,0.00044638336090897416,,,,,,,,,,,add,,,,
test_alt_bn128,reth,ECADD,presets[precompile_bn128_add],99,133.01291617893452,0.001,0.866972872388394,0.8656014587016765,0.0005894571294320979,0.001,0.0005412395135143171,0.0006379114505940006,,,,,,,,,,,add,,,,
test_alt_bn128,besu,ECADD,presets[precompile_bn128_add],3652,77.95702573216957,0.001,0.890730186684773,0.8907002497496181,0.00036547049649338206,0.001,0.0003610692926266158,0.00036986113541211926,,,,,,,,,,,add_infinities,,,,
test_alt_bn128,erigon,ECADD,presets[precompile_bn128_add],231,21.82539098144759,0.001,0.9221272338413277,0.9217871780939099,0.0005736670784469903,0.001,0.0005604408556686635,0.0005880678794594666,,,,,,,,,,,add_infinities,,,,
test_alt_bn128,ethrex,ECADD,presets[precompile_bn128_add],1562,26.807103122901413,0.001,0.8423377281633114,0.8422366626044417,0.0001401404314828477,0.001,0.0001367180232443367,0.0001436717046728,,,,,,,,,,,add_infinities,,,,
test_alt_bn128,geth,ECADD,presets[precompile_bn128_add],4092,12.660919560087114,0.001,0.788993817676953,0.7889422269233288,0.00010967204782313863,0.001,0.00010796397461525567,0.0001114393976827261,,,,,,,,,,,add_infinities,,,,
test_alt_bn128,nethermind,ECADD,presets[precompile_bn128_add],1155,15.854211826822029,0.001,0.9179540421384366,0.9178828834585913,0.00020053848442068293,0.001,0.0001974671700377044,0.00020338870793652964,,,,,,,,,,,add_infinities,,,,
test_alt_bn128,reth,ECADD,presets[precompile_bn128_add],99,7.54682666200581,0.016,0.9867329306379399,0.9865961567269907,0.00037723475011993004,0.001,0.0003692129445052179,0.0003853780083738233,,,,,,,,,,,add_infinities,,,,
test_alt_bn128,besu,ECADD,presets[precompile_bn128_add],3652,83.29116817715388,0.001,0.8863208265766712,0.8862896815976511,0.0003840496252455254,0.001,0.00037914292481784807,0.00038876116445804375,,,,,,,,,,,add_negative,,,,
test_alt_bn128,erigon,ECADD,presets[precompile_bn128_add],231,29.00790733374986,0.001,0.8414371815524664,0.8407447674981103,0.0005794068281174855,0.001,0.0005570683825286862,0.0005962511329545981,,,,,,,,,,,add_negative,,,,
test_alt_bn128,ethrex,ECADD,presets[precompile_bn128_add],1562,46.62675503156276,0.001,0.8410087797861188,0.8409068623372637,0.00020016130810018634,0.001,0.00019538422768424374,0.00020526069243501576,,,,,,,,,,,add_negative,,,,
